certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,38,"User Ratings: 60,832",53%,The 'Burbs,71%
Certified Fresh,47,"User Ratings: 32,587",96%,"Sex, Lies, and Videotape",79%
Rotten,33,"User Ratings: 58,939",15%,"The Karate Kid, Part III",35%
Certified Fresh,47,"User Ratings: 376,131",79%,Bill and Ted's Excellent Adventure,75%
Rotten,14,"User Ratings: 8,400",14%,Three Fugitives,50%
Rotten,29,"User Ratings: 47,891",28%,"See No Evil, Hear No Evil",72%
Certified Fresh,40,"User Ratings: 91,158",83%,Major League,84%
DNE,N/A,"User Ratings: 1,149",,Hacia el Límite,28%
Certified Fresh,45,"User Ratings: 109,961",89%,The Abyss,83%
Rotten,34,"User Ratings: 97,767",50%,Pet Sematary,59%
Fresh,28,"User Ratings: 15,713",79%,Sea of Love,66%
Rotten,46,"User Ratings: 60,066",30%,Tango & Cash,52%
Certified Fresh,58,"User Ratings: 192,863",86%,Field of Dreams,86%
Fresh,23,"User Ratings: 199,906",61%,Uncle Buck,76%
Certified Fresh,45,"User Ratings: 59,326",87%,Born on the Fourth of July,76%
Fresh,178,"User Ratings: 2,510",69%,Cold Pursuit,50%
Fresh,197,"User Ratings: 2,800",70%,Happy Death Day 2U,58%
Certified Fresh,309,"Verified Ratings: 7,882",77%,Doctor Sleep,89%
Rotten,34,User Ratings: 717,12%,Tyler Perry's A Madea Family Funeral,30%
DNE,N/A,Ratings: Not yet available,,Cats,
Certified Fresh,396,"Verified Ratings: 6,535",79%,Jojo Rabbit,94%
Fresh,8,User Ratings: 178,63%,Crawl,20%
Rotten,164,"Verified Ratings: 8,118",27%,Rambo: Last Blood,82%
Rotten,117,User Ratings: 824,54%,Five Feet Apart,79%
Certified Fresh,222,"Verified Ratings: 8,238",78%,Scary Stories to Tell in the Dark,72%
DNE,N/A,User Ratings: 199,,Hustle,19%
DNE,N/A,Ratings: Not yet available,,Good Boys (Yeladim Tovim),
DNE,N/A,User Ratings: 39,,I Galantuomini,50%
Rotten,104,User Ratings: 653,34%,Wonder Park,44%
Certified Fresh,148,"Verified Ratings: 6,715",84%,Dora and the Lost City of Gold,88%
DNE,N/A,Ratings: Not yet available,,Last Christmas,
Fresh,234,"Verified Ratings: 11,196",68%,Zombieland: Double Tap,88%
Certified Fresh,365,"Verified Ratings: 10,262",84%,Ad Astra,40%
Rotten,15,"User Ratings: 7,166",47%,Midway,71%
Rotten,178,"Verified Ratings: 14,666",39%,Angel Has Fallen,93%
Rotten,16,"User Ratings: 1,479",13%,Hustlers,35%
DNE,N/A,Ratings: Not yet available,,Yesterday (Vchera),
DNE,N/A,User Ratings: 204,,Escape Room,24%
Certified Fresh,117,"Verified Ratings: 8,316",75%,Spies in Disguise,92%
Certified Fresh,161,"Verified Ratings: 7,928",81%,Abominable,95%
DNE,N/A,Ratings: Not yet available,,Rocketman,
Certified Fresh,242,"Verified Ratings: 20,269",84%,Downton Abbey,94%
Certified Fresh,323,"Verified Ratings: 24,141",92%,Ford v Ferrari,98%
Fresh,200,"Verified Ratings: 9,405",65%,Annabelle Comes Home,70%
Rotten,357,"Verified Ratings: 15,449",23%,Dark Phoenix,64%
Fresh,324,"Verified Ratings: 12,999",70%,Terminator: Dark Fate,82%
Rotten,304,"Verified Ratings: 11,493",23%,Men in Black International,66%
Certified Fresh,431,"Verified Ratings: 33,820",97%,Knives Out,92%
Certified Fresh,331,"User Ratings: 38,207",90%,John Wick: Chapter 3 - Parabellum,86%
Certified Fresh,41,"User Ratings: 432,214",98%,Dumbo,70%
Certified Fresh,392,"User Ratings: 16,545",90%,Shazam!,82%
Certified Fresh,530,"Verified Ratings: 26,401",85%,Once Upon a Time In Hollywood,70%
Fresh,24,"User Ratings: 9,395",83%,"Godzilla, King of the Monsters!",73%
Fresh,313,"User Ratings: 33,393",61%,Alita: Battle Angel,92%
Fresh,294,"User Ratings: 16,335",69%,Pokémon Detective Pikachu,79%
Fresh,355,"Verified Ratings: 30,947",63%,It Chapter Two,78%
Rotten,250,"Verified Ratings: 19,127",40%,Maleficent: Mistress of Evil,95%
Certified Fresh,255,"User Ratings: 56,158",91%,How to Train Your Dragon: The Hidden World,86%
Fresh,331,"Verified Ratings: 27,687",67%,Fast & Furious Presents: Hobbs & Shaw,88%
Fresh,232,"Verified Ratings: 35,725",71%,Jumanji: The Next Level,87%
Certified Fresh,429,"Verified Ratings: 53,145",97%,Toy Story 4,94%
Rotten,483,"Verified Ratings: 98,218",52%,Star Wars: The Rise of Skywalker,86%
DNE,N/A,User Ratings: 30,,Joker,33%
Certified Fresh,427,"Verified Ratings: 69,223",91%,Spider-Man: Far From Home,95%
Certified Fresh,504,"User Ratings: 94,873",78%,Captain Marvel,48%
Certified Fresh,315,"Verified Ratings: 48,796",77%,Frozen II,92%
Certified Fresh,505,"User Ratings: 69,038",94%,Avengers: Endgame,90%
Fresh,278,"User Ratings: 4,865",62%,Sicario: Day of the Soldado,64%
DNE,N/A,Ratings: Not yet available,,Searching,
Rotten,132,"User Ratings: 4,246",41%,Den of Thieves,62%
Certified Fresh,359,"User Ratings: 12,414",89%,Hereditary,66%
Rotten,182,"User Ratings: 3,904",26%,Mortal Engines,49%
DNE,N/A,Ratings: Not yet available,,I Can Only Imagine,
Rotten,64,"User Ratings: 1,606",27%,Sherlock Gnomes,35%
Rotten,179,"User Ratings: 2,015",54%,Book Club,52%
Rotten,219,"User Ratings: 4,598",36%,I Feel Pretty,35%
Rotten,94,"User Ratings: 1,292",48%,Goosebumps 2: Haunted Halloween,39%
Certified Fresh,418,"User Ratings: 10,780",96%,BlacKkKlansman,82%
Certified Fresh,220,"User Ratings: 5,044",84%,Blockers,50%
DNE,N/A,"User Ratings: 1,524",,Truth or Dare?: A Critical Madness,57%
DNE,N/A,Ratings: Not yet available,,Alpha,
DNE,N/A,User Ratings: 172,,Night School (Terror Eyes),28%
Certified Fresh,428,"User Ratings: 8,572",86%,First Man,67%
Certified Fresh,246,"User Ratings: 9,486",85%,Game Night,77%
Certified Fresh,145,"User Ratings: 3,349",81%,Instant Family,82%
DNE,N/A,"User Ratings: 7,535",,A Wrinkle in Time,40%
Rotten,287,"User Ratings: 7,975",45%,Red Sparrow,49%
Rotten,106,"User Ratings: 1,849",37%,Johnny English Strikes Again,49%
Certified Fresh,48,"User Ratings: 388,947",81%,Predator,87%
Rotten,106,"User Ratings: 5,792",33%,Insidious: The Last Key,51%
Rotten,196,"User Ratings: 4,773",52%,Equalizer 2,61%
Fresh,265,"User Ratings: 5,640",73%,Christopher Robin,83%
Certified Fresh,292,"User Ratings: 5,472",84%,Creed II,80%
Certified Fresh,122,"User Ratings: 2,128",76%,Smallfoot,62%
Certified Fresh,343,"User Ratings: 12,520",91%,Crazy Rich Asians,76%
Rotten,169,"User Ratings: 17,035",43%,Maze Runner: The Death Cure,58%
